week,lat_bin,lon_bin,flash_count
2024-05-27,22.0,-80.0,180
2024-05-27,22.0,-79.5,1440
2024-05-27,22.0,-79.0,540
2024-05-27,22.0,-78.5,540
2024-05-27,22.0,-78.0,1350
2024-05-27,22.0,-77.5,1620
2024-05-27,22.0,-77.0,270
2024-05-27,22.0,-76.5,270
2024-05-27,22.0,-75.5,450
2024-05-27,22.0,-75.0,630
2024-05-27,22.0,-74.5,990
2024-05-27,22.0,-74.0,2430
2024-05-27,22.0,-71.5,90
2024-05-27,22.0,-71.0,270
2024-05-27,22.0,-70.0,270
2024-05-27,22.0,-69.5,180
2024-05-27,22.0,-69.0,270
2024-05-27,22.0,-68.5,90
2024-05-27,22.0,-68.0,180
2024-05-27,22.0,-67.5,90
2024-05-27,22.0,-67.0,450
2024-05-27,22.0,-66.5,90
2024-05-27,22.0,-66.0,90
2024-05-27,22.5,-103.0,180
