month,lat_bin,lon_bin,n,power_MW
6,27.0,-81.5,1,29.588652
6,27.0,-81.0,1,32.791584
6,27.0,-80.5,2,111.120155
6,27.5,-110.5,5,522.374
6,27.5,-110.0,6,298.5242
6,27.5,-109.5,11,341.06924
6,27.5,-109.0,49,2611.3179
6,27.5,-108.5,12,763.6693
6,27.5,-108.0,4,235.07764
6,27.5,-107.5,3,209.77007
6,27.5,-106.0,2,68.74459
6,27.5,-104.5,2,85.045876
6,27.5,-103.0,4,943.93524
6,27.5,-102.5,3,934.1621
6,27.5,-102.0,8,3366.078
6,27.5,-101.0,5,227.42409
6,27.5,-99.5,30,873.8279
6,27.5,-99.0,3,97.52994
6,27.5,-98.5,3,197.7149
6,27.5,-98.0,7,202.59048
6,27.5,-97.5,19,1004.80237
6,27.5,-82.5,3,249.10074
6,27.5,-82.0,1,38.840195
6,27.5,-81.5,5,302.88254
6,27.5,-81.0,14,742.2307
6,28.0,-110.0,2,79.41832
6,28.0,-109.5,24,1403.1548
6,28.0,-109.0,19,1738.0453
6,28.0,-108.5,8,558.74164
6,28.0,-108.0,36,11731.785
6,28.0,-107.5,68,21016.55
6,28.0,-107.0,23,11104.229
6,28.0,-106.5,1,29.916443
6,28.0,-106.0,5,301.8147
6,28.0,-105.5,1,40.07831
6,28.0,-105.0,2,93.37958
6,28.0,-104.0,2,84.2016
6,28.0,-103.0,11,1763.4155
6,28.0,-102.0,3,248.10413
6,28.0,-101.5,3,205.55258
6,28.0,-100.5,2,36.518578
6,28.0,-100.0,1,16.302887
6,28.0,-99.5,6,131.39847
6,28.0,-99.0,3,62.755455
6,28.0,-97.5,1,38.604492
6,28.0,-97.0,6,1161.9355
6,28.0,-82.0,6,221.7797
6,28.0,-81.5,4,246.13974
6,28.0,-81.0,5,298.87238
6,28.5,-110.5,2,237.04675
6,28.5,-110.0,12,1976.5122
6,28.5,-109.5,18,994.17725
6,28.5,-109.0,6,578.6952
6,28.5,-108.5,6,687.0328
6,28.5,-108.0,5,252.33496
6,28.5,-107.5,1,18.581789
6,28.5,-107.0,1,53.85746
6,28.5,-106.5,1,60.055027
6,28.5,-106.0,2,51.98838
6,28.5,-103.5,7,503.1476
6,28.5,-103.0,2,222.12079
6,28.5,-102.5,2,104.72739
6,28.5,-102.0,1,59.039303
6,28.5,-101.5,2,58.390465
6,28.5,-100.5,7,244.91153
6,28.5,-100.0,8,173.29787
6,28.5,-99.5,5,141.44922
6,28.5,-99.0,7,158.51813
6,28.5,-98.5,2,37.95324
6,28.5,-98.0,8,265.06326
6,28.5,-97.5,2,44.379593
6,28.5,-96.5,1,61.780678
6,28.5,-96.0,2,151.16238
6,28.5,-82.5,2,98.044464
6,28.5,-82.0,9,397.74478
6,28.5,-81.5,1,46.158596
6,28.5,-81.0,1,86.98434
6,28.5,-80.5,1,156.42546
6,29.0,-112.5,1,70.287766
6,29.0,-110.0,16,2880.2627
