date,lat_bin,lon_bin,fire_count,fire_power_MW,max_temp_K,max_power_MW
2024-06-03,17.0,-93.0,3,133.90292,710.3922,49.08534
2024-06-03,17.0,-92.0,1,72.69399,,72.69399
2024-06-03,17.0,-91.5,2,119.57718,,71.604965
2024-06-03,17.0,-91.0,1,24.303976,470.04425,24.303976
2024-06-03,17.0,-90.5,2,128.51144,509.81842,78.94147
2024-06-03,17.0,-90.0,2,213.76437,526.24445,134.7385
2024-06-03,17.0,-89.0,2,142.83698,1001.44666,90.70215
2024-06-03,17.0,-88.5,1,65.46014,442.30124,65.46014
2024-06-03,17.5,-102.0,1,58.0772,426.42453,58.0772
2024-06-03,17.5,-93.5,3,230.63129,524.76117,83.455956
2024-06-03,17.5,-93.0,5,291.4613,623.1528,87.184166
2024-06-03,17.5,-92.5,4,511.15887,856.9083,252.90717
2024-06-03,17.5,-92.0,6,321.0463,513.1146,97.539986
2024-06-03,17.5,-90.5,1,38.54672,495.97437,38.54672
2024-06-03,17.5,-89.0,3,190.842,531.2437,83.1383
2024-06-03,17.5,-88.5,1,73.04906,427.30353,73.04906
2024-06-03,18.0,-100.5,1,35.905502,412.08606,35.905502
2024-06-03,18.0,-93.0,9,1033.689,1013.09326,196.01248
2024-06-03,18.0,-92.5,23,3254.1973,1302.6095,411.70737
2024-06-03,18.0,-92.0,8,824.94855,954.4209,140.36136
2024-06-03,18.0,-91.0,1,44.96988,517.4546,44.96988
2024-06-03,18.0,-90.5,2,263.3778,775.21747,176.27785
2024-06-03,18.0,-89.5,1,45.405994,455.21136,45.405994
2024-06-03,18.0,-89.0,1,50.229942,640.07324,50.229942
2024-06-03,18.0,-88.5,1,76.52436,403.7357,76.52436
2024-06-03,18.5,-97.5,1,112.40003,,112.40003
2024-06-03,18.5,-91.5,2,98.37053,522.5637,64.07427
2024-06-03,18.5,-90.5,2,347.91748,550.96594,181.13506
2024-06-03,18.5,-89.0,8,664.2557,1059.7345,221.57097
2024-06-03,18.5,-88.5,7,765.5949,710.83167,192.1945
