time,lat,lon,Mask,Temp,Power,Area
2018-06-02T19:58:47,30.5626,-101.7948,10,438.9501,32.0287,0.0603
2018-06-02T19:58:47,30.7227,-109.2903,100,,16.9755,0.0040
2018-06-02T19:58:47,30.6353,-108.0095,100,,12.6609,0.0040
2018-06-02T19:58:47,29.9459,-90.7007,10,475.5379,27.0591,0.0257
2018-06-02T19:58:47,30.4095,-108.1283,215,,9.3850,0.0040
2018-06-02T19:58:47,30.3258,-109.6961,100,,14.6009,0.0040
2018-06-02T19:58:47,29.6500,-108.1171,10,642.5454,124.3230,0.0155
2018-06-02T19:58:47,29.6486,-108.0889,10,402.4172,120.2807,0.4848
2018-06-02T19:58:47,29.6252,-108.0785,10,410.7126,255.6795,0.8492
2018-06-02T19:58:47,29.5355,-106.6498,10,439.2797,165.9073,0.3068
2018-06-02T19:58:47,29.5343,-106.6223,10,403.0764,175.9886,0.7214
2018-06-02T19:58:47,29.5123,-106.6401,10,574.7535,233.2715,0.0577
2018-06-02T19:58:47,29.4865,-106.5755,10,720.6653,423.0521,0.0282
2018-06-02T19:58:47,29.4853,-106.5481,13,,391.1011,
2018-06-02T19:58:47,28.7810,-81.9816,10,435.0496,42.0693,0.0835
2018-06-02T19:58:47,29.4645,-106.5932,13,,443.1298,
2018-06-02T19:58:47,29.4633,-106.5658,13,,262.8427,
2018-06-02T19:58:47,28.9828,-98.5753,10,454.8817,20.5101,0.0282
2018-06-02T19:58:47,28.7719,-99.5996,10,407.1418,18.3029,0.0680
2018-06-02T19:58:47,28.7227,-98.1908,10,454.1126,21.5947,0.0300
2018-06-02T19:58:47,28.7009,-98.2085,10,402.9117,30.1054,0.1234
2018-06-02T19:58:47,29.0677,-109.7497,13,,152.9418,
2018-06-02T19:58:47,29.0459,-109.7677,10,1056.8228,134.2919,0.0040
2018-06-02T19:58:47,29.0227,-109.7569,10,797.0273,334.9631,0.0136
2018-06-02T19:58:47,29.0213,-109.7281,13,,179.7689,
2018-06-02T19:58:47,28.3452,-97.5899,10,422.2494,19.4862,0.0509
2018-06-02T19:58:47,27.9563,-99.2417,10,449.3331,19.1359,0.0291
2018-06-02T19:58:47,28.2176,-106.9934,100,,12.2648,0.0040
2018-06-02T19:58:47,28.0466,-107.6752,13,,274.2690,
2018-06-02T19:58:47,28.0453,-107.6478,13,,360.7026,
2018-06-02T19:58:47,28.0475,-108.6818,10,719.5667,112.9696,0.0076
2018-06-02T19:58:47,28.0247,-108.6720,10,709.6230,94.8943,0.0069
2018-06-02T19:58:47,28.0234,-108.6440,10,427.1937,63.3578,0.1477
2018-06-02T19:58:47,27.6038,-97.9592,10,405.7683,25.7116,0.0980
2018-06-02T19:58:47,27.5221,-99.4776,10,407.5263,25.4132,0.0942
2018-06-02T19:58:47,27.4644,-97.7351,10,401.2086,39.1627,0.1652
2018-06-02T19:58:47,27.4998,-99.4713,10,430.3250,18.2911,0.0408
2018-06-02T19:58:47,27.8349,-108.9200,10,505.2037,80.6516,0.0483
2018-06-02T19:58:47,27.4703,-102.3316,100,,14.0047,0.0040
2018-06-02T19:58:47,27.3465,-106.4141,100,,5.7103,0.0040
2018-06-02T19:58:47,26.2730,-80.2878,10,417.8544,27.5804,
2018-06-02T19:58:47,26.6610,-103.0138,100,,17.7244,0.0040
2018-06-02T19:58:47,26.6837,-107.9320,10,403.2962,85.2392,0.3379
2018-06-02T19:58:47,25.6142,-99.0597,10,522.8933,16.2762,0.0077
2018-06-02T19:58:47,25.8066,-107.3323,10,716.9297,42.0828,0.0040
